x	y	classify	taxa	attr1	attr2
-84.45604007	185.3970213	3	A214	-84.45604007	185.3970213
-179.9158034	-22.10954594	1	A215	-179.9158034	-22.10954594
-1.348366067	7.785465438	3	A216	-1.348366067	7.785465438
-116.1327645	-87.75155021	3	A217	-116.1327645	-87.75155021
-10.18626798	-21.05775266	3	A218	-10.18626798	-21.05775266
143.4669859	-41.84125728	2	A219	143.4669859	-41.84125728
-17.79346474	14.84089966	3	A220	-17.79346474	14.84089966
6.638720016	-220.243413	4	A221	6.638720016	-220.243413
108.6626366	31.43201539	2	A222	108.6626366	31.43201539
96.02232452	-202.9823392	4	A223	96.02232452	-202.9823392
69.63280953	-216.1322504	4	A224	69.63280953	-216.1322504
120.542234	-21.23793078	2	A225	120.542234	-21.23793078
-0.301563769	-31.54007352	3	A226	-0.301563769	-31.54007352
105.4657167	-186.9419506	4	A227	105.4657167	-186.9419506
-187.4230032	11.77277453	1	A228	-187.4230032	11.77277453
15.3854302	20.4016231	3	A229	15.3854302	20.4016231
115.3528595	1.801469454	2	A230	115.3528595	1.801469454
-207.7679479	-133.6119508	2	A231	-207.7679479	-133.6119508
-192.2494378	-63.67635825	1	A232	-192.2494378	-63.67635825
265.6854032	-14.49836181	5	A233	265.6854032	-14.49836181
-137.1970659	189.8993877	3	A234	-137.1970659	189.8993877
72.62431973	-208.5326217	4	A235	72.62431973	-208.5326217
0.92037695	102.1564007	1	A236	0.92037695	102.1564007
20.43218792	-178.7564473	4	A237	20.43218792	-178.7564473
-91.8020031	-157.918288	5	A238	-91.8020031	-157.918288
70.42803381	110.8967556	3	A239	70.42803381	110.8967556
38.75816202	-198.8691459	4	A240	38.75816202	-198.8691459
23.11383385	-210.0178936	4	A241	23.11383385	-210.0178936
-7.379213916	-105.5510483	2	A242	-7.379213916	-105.5510483
-191.7940983	-13.36237815	1	A243	-191.7940983	-13.36237815
-37.8457858	-61.70576794	1	A244	-37.8457858	-61.70576794
149.9390849	8.900919967	2	A245	149.9390849	8.900919967
163.4385874	66.04681058	2	A246	163.4385874	66.04681058
